0,44,1
0,45,1
1,41,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
2,40,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,46,1
2,47,1
2,48,1
3,40,1
3,41,1
3,42,1
3,43,1
3,44,1
3,45,1
3,46,1
3,47,1
3,48,1
4,41,1
4,42,1
4,43,1
4,44,1
4,45,1
4,46,1
5,44,1
2,49,1
3,49,1
5,45,1
2,39,1
3,38,1
3,39,1
4,37,1
4,38,1
4,39,1
4,40,1
5,38,1
5,39,1
5,40,1
5,41,1
5,42,1
5,43,1
6,41,1
6,42,1
6,43,1
6,44,1
6,45,1
2,50,1
3,50,1
2,51,1
3,51,1
4,36,1
5,36,1
5,37,1
6,37,1
6,38,1
6,39,1
6,40,1
7,40,1
7,41,1
7,42,1
7,43,1
7,44,1
7,45,1
7,46,1
2,52,1
6,50,1
2,53,1
3,52,1
6,51,1
6,36,1
7,37,1
7,38,1
7,39,1
8,40,1
8,41,1
8,42,1
8,43,1
8,44,1
8,45,1
7,49,1
8,46,1
7,50,1
8,47,1
3,53,1
6,52,1
7,51,1
8,48,1
8,38,1
8,39,1
9,41,1
9,42,1
9,43,1
9,44,1
9,45,1
8,49,1
9,46,1
9,47,1
2,54,1
3,54,1
6,53,1
7,52,1
9,48,1
4,35,1
5,35,1
3,33,1
4,34,1
5,34,1
6,34,1
6,35,1
7,35,1
7,36,1
4,32,1
4,33,1
5,33,1
6,33,1
7,33,1
7,34,1
8,34,1
8,35,1
8,36,1
8,37,1
9,37,1
9,38,1
9,39,1
9,40,1
9,35,1
9,36,1
10,38,1
10,39,1
10,40,1
10,41,1
10,42,1
11,41,1
10,46,1
10,47,1
9,49,1
10,48,1
4,54,1
5,54,1
3,55,1
6,54,1
7,53,1
8,50,1
4,55,1
5,55,1
3,56,1
6,55,1
7,54,1
8,51,1
3,32,1
4,31,1
5,32,1
6,32,1
7,32,1
8,33,1
5,31,1
8,32,1
9,33,1
9,34,1
10,36,1
10,37,1
10,34,1
10,35,1
11,37,1
11,38,1
11,39,1
11,40,1
12,40,1
11,46,1
11,47,1
10,49,1
11,48,1
9,50,1
10,50,1
4,56,1
5,56,1
8,52,1
8,53,1
8,54,1
9,51,1
9,52,1
9,53,1
9,54,1
10,53,1
3,57,1
4,57,1
5,57,1
6,56,1
7,55,1
8,55,1
9,55,1
10,54,1
6,31,1
9,32,1
10,33,1
11,36,1
11,34,1
11,35,1
12,37,1
12,38,1
12,39,1
13,40,1
3,58,1
6,57,1
7,56,1
8,56,1
9,56,1
10,55,1
11,54,1
13,38,1
13,39,1
4,58,1
5,58,1
3,59,1
6,58,1
7,57,1
10,56,1
11,55,1
3,31,1
4,30,1
7,31,1
5,30,1
8,31,1
3,30,1
4,29,1
5,29,1
6,29,1
6,30,1
7,30,1
8,30,1
9,31,1
10,31,1
